,id,mood,valence,activity,screen,call,sms,builtin,communication,entertainment,finance,game,office,other,social,travel,unknown,utilities,weather,mood_target
1,AS14.01,7.68,0.9523809523809523,0.08799137598197126,91.84276973377717,8.0,5.0,14.594934351145042,48.265691910499136,75.37465333333334,34.0243,166.6525,28.098000000000003,11.851620689655173,87.62275342465753,24.126894736842104,30.101999999999997,20.644177777777774,0.0,8.0
2,AS14.01,7.6,0.9047619047619048,0.07757826351061663,93.99067202105016,10.0,4.0,14.643163531114324,46.611509090909145,66.26249253731342,35.5068901098901,166.6525,28.098000000000003,12.523733333333334,113.35252631578946,17.48777777777778,0.0,18.78692063492063,0.0,8.0
3,AS14.01,7.583333333333333,0.9090909090909091,0.06884528374346256,89.22589272065595,10.0,4.0,16.254676875957138,43.917878143133485,77.73499999999997,36.02298333333332,166.6525,28.098000000000003,39.99865714285714,129.0327213114754,17.48777777777778,0.0,18.40046268656716,0.0,7.6
4,AS14.01,7.5,0.9090909090909091,0.10394785293625827,114.31074125227673,6.0,4.0,17.396213768115942,47.58214484679665,80.79399999999997,45.660105263157895,166.6525,0.0,41.227294117647055,177.3477,20.67244736842105,3.148,17.520890410958895,0.0,8.0
5,AS14.01,7.375,0.9130434782608695,0.09533443849442856,118.32449450073663,7.0,5.0,16.977588652482282,52.41943576826197,85.67587301587301,32.09943750000001,166.6525,0.0,40.14975,169.52179545454553,23.042840000000005,3.148,17.82004705882352,0.0,7.8
6,AS14.01,7.5,0.92,0.08469746201535779,147.93658912803818,8.0,5.0,9.968315424610056,56.98291452991451,101.21978048780487,34.45371428571429,0.0,0.0,41.169451612903224,129.81346666666667,22.5105,3.148,18.767680412371135,0.0,7.0
7,AS14.01,7.5,0.96,0.09009446029133043,137.7703282123793,7.0,5.0,9.20753553719008,56.38522627737226,92.19494805194806,18.421733333333336,0.0,0.0,40.195709677419345,104.51566666666665,22.5105,3.148,19.618790697674424,0.0,7.6
8,AS14.01,7.48,0.96,0.10148592247263422,125.29654223944553,9.0,5.0,9.195749291784704,53.60500538358014,71.16815957446806,14.989476190476193,0.0,0.0,9.353444444444442,98.23141489361703,22.5105,3.148,20.2979504950495,0.0,7.5
9,AS14.01,7.48,0.96,0.07998407035103329,109.2484703090042,8.0,1.0,12.77452394366197,52.634060321715786,68.44464948453604,16.0389,0.0,0.0,9.79211111111111,74.43212244897954,20.308666666666667,0.0,21.613466666666667,0.0,7.6
10,AS14.01,7.5,0.9583333333333334,0.07312097903220005,109.3343486368251,8.0,2.0,12.602458677685963,53.50302315484804,69.95615624999998,16.332263157894744,0.0,0.0,8.836230769230768,73.78177777777776,19.910333333333334,0.0,20.702084337349394,0.0,7.2
11,AS14.01,7.541666666666667,0.9583333333333334,0.08290832495417771,98.57081172097851,8.0,2.0,12.362899713467064,48.55455663430421,46.10322033898304,9.80025,29.084,0.0,8.492259259259258,66.83375999999998,39.4336,0.0,21.44052459016393,0.0,7.6
12,AS14.01,7.375,0.9166666666666666,0.09259854026064032,109.1197515011789,8.0,2.0,13.505569985569991,49.38299252336448,53.339271186440676,12.379874999999998,29.084,0.0,8.381499999999999,88.7651506849315,32.630250000000004,0.0,21.28903703703704,0.0,7.6
13,AS14.01,7.208333333333333,0.8333333333333334,0.08553735804547491,129.75712980903114,8.0,2.0,12.357314606741586,67.11303491271822,60.78447222222222,14.370222222222221,29.084,0.0,8.343888888888888,87.37139024390243,32.630250000000004,0.0,21.55863888888888,0.0,7.4
14,AS14.01,7.125,0.7619047619047619,0.08837485932121446,120.05450191625694,6.0,3.0,7.742881913303437,60.773729292929325,50.80189999999999,15.026533333333333,29.084,0.0,7.429285714285716,83.15705769230769,38.5528,0.0,21.911555555555555,0.0,7.6
15,AS14.01,6.96,0.7727272727272727,0.09132105279975213,119.77099646966924,12.0,2.0,7.735865789473671,55.83333868092695,48.370614035087726,14.2396875,29.084,0.0,9.801137931034487,87.4096935483871,33.521166666666666,0.0,23.68935,0.0,7.25
16,AS14.01,6.84,0.6818181818181818,0.08821213334896084,118.05260975108885,12.0,3.0,7.259419950738912,57.50906065573774,106.91758750000001,13.845562499999998,0.0,0.0,11.051305555555558,102.01614503816795,16.890166666666666,0.0,27.12986666666667,0.0,7.8
17,AS14.01,7.041666666666667,0.7142857142857143,0.07220979780083986,108.36414361084609,11.0,3.0,6.0069249329758705,55.96309437386574,107.04593333333332,10.2655,0.0,0.0,11.106675000000005,92.7210975609756,12.488999999999999,0.0,27.484142857142853,0.0,6.8
18,AS14.01,7.173913043478261,0.75,0.07527603876048411,113.20881799755732,9.0,3.0,6.1592590975254735,52.412723360655725,122.83763414634146,10.2655,0.0,0.0,11.179452380952384,96.58566666666668,10.6245,0.0,23.61264102564102,0.0,6.6
19,AS14.01,7.130434782608695,0.782608695652174,0.06805121194967177,119.09184860979829,9.0,2.0,9.847830383480828,50.616172707889106,145.27612500000004,11.619666666666667,0.0,0.0,11.433452380952385,99.34862650602409,15.3464,0.0,23.803207792207782,0.0,7.2
20,AS14.01,7.3478260869565215,0.782608695652174,0.06582140243250492,120.76101404889127,8.0,1.0,10.576328467153298,57.279194373401545,171.73234246575348,12.65852380952381,1.0590000000000002,23.195,10.857022727272726,72.35424637681157,17.09225,0.0,24.75308974358974,0.0,6.4
21,AS14.01,7.391304347826087,0.8636363636363636,0.07312076244499384,94.65420482053337,11.0,0.0,11.920559852670376,51.72589461358315,128.77991071428573,11.767066666666667,1.0590000000000002,23.195,16.981674999999996,42.58093913043477,19.6325,0.0,28.186777777777774,0.0,7.2
22,AS14.01,7.125,0.7619047619047619,0.08538190830638938,89.23433333820768,12.0,0.0,10.99862957074723,51.034698492462326,142.85975342465753,12.580444444444446,1.0590000000000002,23.195,22.07144444444445,47.57865189873417,19.6325,0.0,27.82551785714285,0.0,8.0
